"DATE","NEW_CASES","BOE_FORMULA","TOTAL_ACTIVE"
2020-03-13,0,0,0
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,1,0,0
2020-03-20,8,0,0
2020-03-21,0,0,0
2020-03-22,11,0,0
2020-03-23,12,0,0
2020-03-24,0,0,0
2020-03-25,2,0,0
2020-03-26,7,0,0
2020-03-27,15,0,0
2020-03-28,24,0,0
2020-03-29,11,0,0
2020-03-30,71,0,0
2020-03-31,20,0,184
2020-04-01,17,0,194
2020-04-02,67,0,261
2020-04-03,15,281,276
2020-04-04,18,299,301
2020-04-05,20,319,306
2020-04-06,14,333,320
2020-04-07,26,359,346
2020-04-08,15,373,358
2020-04-09,13,378,369
2020-04-10,24,402,314
2020-04-11,22,413,320
2020-04-12,10,411,325
2020-04-13,9,420,314
2020-04-14,12,430,316
2020-04-15,12,435,310
2020-04-16,13,433,298
2020-04-17,6,415,293
2020-04-18,6,410,203
2020-04-19,6,345,206
2020-04-20,9,334,202
2020-04-21,12,329,201
2020-04-22,20,282,209
2020-04-23,6,273,209
2020-04-24,17,272,224
2020-04-25,11,263,234
2020-04-26,9,258,243
2020-04-27,10,242,249
2020-04-28,5,232,253
2020-04-29,11,230,261
2020-04-30,4,210,261
2020-05-01,9,197,270
2020-05-02,8,195,276
2020-05-03,13,199,289
2020-05-04,7,194,293
2020-05-05,2,184,293
2020-05-06,9,180,303
2020-05-07,1,175,297
2020-05-08,11,180,306
2020-05-09,10,184,314
2020-05-10,5,180,318
2020-05-11,1,169,318
2020-05-12,9,158,325
2020-05-13,6,158,327
2020-05-14,6,147,327
2020-05-15,4,140,329
2020-05-16,13,144,341
2020-05-17,2,136,343
2020-05-18,10,141,352
2020-05-19,19,149,369
2020-05-20,1,146,367
2020-05-21,9,146,375
2020-05-22,14,152,388
2020-05-23,17,156,402
2020-05-24,2,151,404
2020-05-25,16,165,418
2020-05-26,11,167,425
2020-05-27,5,171,428
2020-05-28,9,169,434
2020-05-29,6,165,436
2020-05-30,23,183,457
2020-05-31,8,190,465
2020-06-01,4,185,462
2020-06-02,20,199,476
2020-06-03,18,211,490
2020-06-04,7,214,493
2020-06-05,13,214,504
2020-06-06,16,228,517
2020-06-07,8,226,524
2020-06-08,12,219,528
2020-06-09,24,242,542
2020-06-10,22,255,560
2020-06-11,16,257,564
2020-06-12,10,250,567
2020-06-13,16,264,579
2020-06-14,13,261,592
2020-06-15,17,267,606
2020-06-16,7,269,601
2020-06-17,7,267,602
2020-06-18,11,272,603
2020-06-19,27,276,617
2020-06-20,8,276,625
2020-06-21,16,288,639
2020-06-22,15,283,638
2020-06-23,16,281,640
2020-06-24,19,293,652
2020-06-25,29,309,675
2020-06-26,36,329,703
2020-06-27,22,343,714
2020-06-29,53,384,751
2020-06-30,46,406,785
2020-07-01,52,436,822
2020-07-02,38,458,848
2020-07-03,52,500,891
2020-07-04,34,518,903
2020-07-05,17,522,913
2020-07-06,26,531,925
2020-07-07,34,558,947
2020-07-08,57,608,985
2020-07-09,75,672,1042
